name,type,subtype1,subtype2,subtype3,price
Hanina Spritz,beverage,cocktails,arak,mixology,40
Arak Elite,beverage,spirit,arak,glass,22
Arak Elite Bottle,beverage,spirit,arak,glass,300
Ch. Arak Elite,beverage,spirit,arak,chaser,10
Bruschetta Pastorma,food,appetizers,beef,warm,28
Cigar Pastroma 4P,food,appetizers,beef,warm,51
Kids Burger,food,main,beef,children,52
Arais,food,main,beef,warm,68
Hamburger,food,main,beef,warm,46
Hanger Steak,food,main,beef,warm,94
Kebab,food,main,beef,warm,72
Malfouf,food,main,beef,warm,69
New York Steak,food,main,beef,warm,240
Onza Burger,food,main,beef,warm,43
Ox Tail Pide,food,main,beef,warm,75
Pappardelle Tulum,food,main,beef,warm,68
Pide Shawarma,food,main,beef,warm,71
Round Steak,food,main,beef,warm,64
Sirloin Steak,food,main,beef,warm,136
T-Bone 650 Gr,food,main,beef,warm,312
T-Bone 700 Gr,food,main,beef,warm,336
T-Bone 750 Gr,food,main,beef,warm,360
Valentines Meal,food,main,beef,warm,200
Beef Tartar,food,starters,beef,cold,65
Cigar Pastroma,food,starters,beef,warm,39
Filo Snacks,food,starters,beef,warm,38
Kadaif Rolls,food,starters,beef,warm,48
Kubba Nia,food,starters,beef,cold,52
Kubba Nia 3 Pieces,food,starters,beef,cold,36
Kubba Nia 4 Pieces,food,starters,beef,cold,46
Pastroma,food,starters,beef,cold,41
Pastroma Akmak,food,starters,beef,warm,46
Round Steak Tartar,food,starters,beef,cold,59
Sweetbread,food,starters,beef,warm,52
Tulum Pastroma,food,starters,beef,cold,38
Interior Parts Pide,food,tabun,beef,warm,74
Bluemoon,beverage,beer,beer,bottle,28
Budweiser,beverage,beer,beer,bottle,26
Corona,beverage,beer,beer,bottle,28
Crabbies Ginger Beer,beverage,beer,beer,bottle,26
Greek Deal,beverage,beer,beer,bottle,140
Hoegaarden,beverage,beer,beer,bottle,28
Ipa Brewdog Punk,beverage,beer,beer,bottle,34
Malka Blond Ale,beverage,beer,beer,bottle,34
Malka Pale Ale,beverage,beer,beer,bottle,34
Mythos 2 Bottles,beverage,beer,beer,deal,45
Mythos 3 Bottles,beverage,beer,beer,deal,65
Mythos 4 Bottles,beverage,beer,beer,deal,68
Mythos 6 Bottles,beverage,beer,beer,deal,100
Mythos 8 Bottles,beverage,beer,beer,deal,130
Mythos Bottle,beverage,beer,beer,bottle,24
Mythos Draft,beverage,beer,beer,draft,25
Mythos Draft Ta,beverage,beer,beer,draft,25
Negev Oasis,beverage,beer,beer,bottle,35
Shandy,beverage,beer,beer,bottle,32
St Bernardus Triple,beverage,beer,beer,bottle,32
St-Feuillien Grand Cru,beverage,beer,beer,bottle,34
Stella Artois,beverage,beer,beer,bottle,27
Tuborg,beverage,beer,beer,bottle,24
Aperol,beverage,liquer,bitter,glass,24
Campari,beverage,liquer,bitter,glass,22
